K*Chen/K*Hertz																							K*Tu/K*Hertz
n = 0            		n = 0.1         		n = 0.2         		n = 0.3         		n = 0.4          		n = 0.5													
dR/h2      	K/KH       	dR/h2   	K/KH     	dR/h2    	K/KH    	dR/h2    	K/KH      	dR/h2     	K/KH     	dR/h2     	K/KH     	dR/h2     	K/KH										
1.23E-06	0.998858184	1.23E-06	0.998829441	1.23E-06	0.998781351	1.23E-06	0.998701893	1.23E-06	0.99856818	1.23E-06	0.998331127	1.23E-06	0.999171754
1.29E-06	0.998832243	1.29E-06	0.998802849	1.29E-06	0.998753671	1.29E-06	0.998672404	1.29E-06	0.998535655	1.29E-06	0.998293222	1.29E-06	0.999152876
1.35E-06	0.998805101	1.35E-06	0.998775025	1.35E-06	0.998724699	1.35E-06	0.998641547	1.35E-06	0.998501621	1.35E-06	0.998253554	1.35E-06	0.999133118
1.42E-06	0.99877667	1.42E-06	0.998745878	1.42E-06	0.99869435	1.42E-06	0.998609229	1.42E-06	0.998465975	1.42E-06	0.998211994	1.42E-06	0.999112414
1.49E-06	0.998746846	1.49E-06	0.998715302	1.49E-06	0.998662522	1.49E-06	0.998575326	1.49E-06	0.998428577	1.49E-06	0.998168413	1.49E-06	0.999090696
1.56E-06	0.998715532	1.56E-06	0.998683203	1.56E-06	0.998629106	1.56E-06	0.998539725	1.56E-06	0.998389311	1.56E-06	0.998122655	1.56E-06	0.999067894
1.64E-06	0.998682616	1.64E-06	0.998649463	1.64E-06	0.998593978	1.64E-06	0.998502305	1.64E-06	0.998348047	1.64E-06	0.998074556	1.64E-06	0.999043919
1.73E-06	0.998647972	1.73E-06	0.998613947	1.73E-06	0.998557002	1.73E-06	0.998462922	1.73E-06	0.998304604	1.73E-06	0.998023919	1.73E-06	0.999018675
1.82E-06	0.998611455	1.82E-06	0.99857651	1.82E-06	0.998518029	1.82E-06	0.99842141	1.82E-06	0.998258813	1.82E-06	0.997970543	1.82E-06	0.998992061
1.93E-06	0.99857291	1.93E-06	0.998537	1.93E-06	0.99847689	1.93E-06	0.99837759	1.93E-06	0.998210483	1.93E-06	0.997914226	1.93E-06	0.998963963
2.04E-06	0.998532166	2.04E-06	0.998495235	2.04E-06	0.998433413	2.04E-06	0.998331272	2.04E-06	0.998159402	2.04E-06	0.997854681	2.04E-06	0.998934255
2.16E-06	0.99848903	2.16E-06	0.998451007	2.16E-06	0.998387374	2.16E-06	0.998282232	2.16E-06	0.998105309	2.16E-06	0.997791627	2.16E-06	0.998902792
2.29E-06	0.998443275	2.29E-06	0.9984041	2.29E-06	0.998338538	2.29E-06	0.99823022	2.29E-06	0.998047934	2.29E-06	0.997724775	2.29E-06	0.998869415
2.44E-06	0.998394667	2.44E-06	0.998354269	2.44E-06	0.998286667	2.44E-06	0.998174962	2.44E-06	0.997986986	2.44E-06	0.997653746	2.44E-06	0.998833944
2.60E-06	0.998342929	2.60E-06	0.998301229	2.60E-06	0.998231449	2.60E-06	0.998116143	2.60E-06	0.997922112	2.60E-06	0.99757813	2.60E-06	0.998796176
2.78E-06	0.998287744	2.78E-06	0.998244655	2.78E-06	0.998172548	2.78E-06	0.998053405	2.77E-06	0.997852919	2.77E-06	0.997497499	2.78E-06	0.99875588
2.97E-06	0.998228766	2.97E-06	0.998184192	2.97E-06	0.998109611	2.97E-06	0.997986365	2.97E-06	0.997778975	2.97E-06	0.997411309	2.97E-06	0.998712789
3.19E-06	0.998165583	3.19E-06	0.998119421	3.19E-06	0.998042178	3.19E-06	0.997914542	3.19E-06	0.997699753	3.18E-06	0.997318967	3.19E-06	0.998666607
3.43E-06	0.998097715	3.43E-06	0.998049843	3.43E-06	0.997969738	3.43E-06	0.997837381	3.43E-06	0.997614655	3.42E-06	0.997219795	3.43E-06	0.998616989
3.69E-06	0.998024636	3.69E-06	0.997974924	3.69E-06	0.997891745	3.69E-06	0.99775431	3.69E-06	0.997523026	3.69E-06	0.997112999	3.69E-06	0.998563538
4.00E-06	0.997945725	4.00E-06	0.997894029	4.00E-06	0.997807525	4.00E-06	0.997664605	3.99E-06	0.997424084	3.99E-06	0.99699769	4.00E-06	0.998505789
4.34E-06	0.997860249	4.34E-06	0.997806404	4.34E-06	0.997716301	4.33E-06	0.99756744	4.33E-06	0.997316911	4.33E-06	0.996872791	4.34E-06	0.998443201
4.72E-06	0.997767355	4.72E-06	0.997711174	4.72E-06	0.997617162	4.72E-06	0.997461841	4.72E-06	0.997200445	4.72E-06	0.99673705	4.72E-06	0.998375141
5.16E-06	0.997666036	5.16E-06	0.997607306	5.16E-06	0.997509027	5.16E-06	0.997346653	5.16E-06	0.997073411	5.16E-06	0.996588995	5.16E-06	0.998300859
5.66E-06	0.99755509	5.66E-06	0.997493568	5.66E-06	0.997390619	5.66E-06	0.997220532	5.66E-06	0.996934307	5.66E-06	0.996426881	5.66E-06	0.99821946
6.24E-06	0.997433079	6.24E-06	0.997368489	6.24E-06	0.997260405	6.24E-06	0.997081832	6.24E-06	0.99678134	6.24E-06	0.996248602	6.24E-06	0.99812987
6.92E-06	0.99729826	6.92E-06	0.99723028	6.92E-06	0.997116524	6.91E-06	0.996928575	6.91E-06	0.996612311	6.91E-06	0.996051621	6.92E-06	0.998030787
7.71E-06	0.997148511	7.70E-06	0.997076764	7.70E-06	0.996956706	7.70E-06	0.996758342	7.70E-06	0.996424555	7.70E-06	0.995832815	7.71E-06	0.997920618
8.64E-06	0.996981206	8.64E-06	0.996905251	8.64E-06	0.996778149	8.64E-06	0.996568153	8.63E-06	0.996214789	8.63E-06	0.995588362	8.64E-06	0.997797393
9.75E-06	0.996793063	9.75E-06	0.996712377	9.75E-06	0.996577359	9.75E-06	0.996354285	9.75E-06	0.995978919	9.74E-06	0.995313496	9.75E-06	0.997658645
1.11E-05	0.996579955	1.11E-05	0.996493911	1.11E-05	0.996349927	1.11E-05	0.99611204	1.11E-05	0.995711741	1.11E-05	0.995002134	1.11E-05	0.997501244
1.27E-05	0.996336554	1.27E-05	0.996244391	1.27E-05	0.996090167	1.27E-05	0.995835362	1.27E-05	0.995406585	1.27E-05	0.994646515	1.27E-05	0.997321157
1.48E-05	0.996055911	1.48E-05	0.995956691	1.48E-05	0.995790659	1.48E-05	0.995516347	1.48E-05	0.995054758	1.48E-05	0.994236518	1.48E-05	0.997113105
1.73E-05	0.995728805	1.73E-05	0.995621361	1.73E-05	0.995441569	1.73E-05	0.995144523	1.73E-05	0.994644687	1.73E-05	0.993758653	1.73E-05	0.996870018
2.06E-05	0.995342683	2.06E-05	0.995225532	2.06E-05	0.9950295	2.06E-05	0.994705622	2.06E-05	0.994160642	2.06E-05	0.993194601	2.06E-05	0.996582236
2.49E-05	0.994880043	2.49E-05	0.994751264	2.49E-05	0.994535774	2.49E-05	0.994179752	2.49E-05	0.993580689	2.49E-05	0.992518807	2.49E-05	0.996236193
3.08E-05	0.994315726	3.08E-05	0.994172765	3.08E-05	0.993933543	3.08E-05	0.99353832	3.08E-05	0.992873299	3.07E-05	0.991694531	3.08E-05	0.995812209
3.89E-05	0.993612255	3.89E-05	0.993451618	3.89E-05	0.993182819	3.89E-05	0.992738734	3.89E-05	0.99199151	3.89E-05	0.99066707	3.89E-05	0.995280619
5.08E-05	0.992711269	5.08E-05	0.992527996	5.08E-05	0.992221323	5.08E-05	0.991714668	5.08E-05	0.990862182	5.07E-05	0.989351217	5.08E-05	0.994594525
6.91E-05	0.991516765	6.91E-05	0.991303487	6.91E-05	0.990946607	6.91E-05	0.990357015	6.91E-05	0.989365002	6.90E-05	0.987606808	6.92E-05	0.993675171
9.95E-05	0.989859349	9.95E-05	0.989604447	9.95E-05	0.989177916	9.94E-05	0.988473262	9.94E-05	0.987287679	9.92E-05	0.9851865	9.95E-05	0.992379374
0.000155246	0.98741101	0.000155221	0.987094619	0.000155179	0.986565194	0.000155109	0.985690556	0.000154991	0.984218989	0.000154783	0.981611045	0.000155282	0.990416785
0.000275399	0.983450095	0.000275339	0.983034149	0.000275239	0.982338108	0.000275073	0.981188163	0.000274795	0.97925331	0.000274301	0.975824092	0.000275484	0.98709594
0.000616974	0.976078056	0.000616772	0.975475882	0.000616434	0.974467946	0.000615876	0.972802177	0.000614936	0.969998147	0.00061327	0.965024678	0.000617261	0.980268917
0.002435897	0.949121659	0.00243429	0.947855142	0.002431599	0.945734726	0.002427147	0.9422372	0.002419661	0.936354169	0.00240638	0.92595378	0.002438179	0.958419158
0.002460116	0.94884031	0.002458485	0.947567481	0.002455751	0.945436679	0.002451237	0.941918836	0.002443635	0.936004489	0.002430155	0.925549163	0.002462436	0.958192109
0.002484696	0.948585406	0.002483042	0.947305716	0.002480269	0.945164891	0.002475684	0.94162878	0.002467965	0.935686255	0.002454282	0.925178895	0.002487056	0.958012696
0.00250965	0.94832792	0.002507969	0.947041241	0.002505154	0.944889473	0.0025005	0.941336163	0.002492664	0.935364974	0.00247877	0.924805367	0.00251204	0.957846151
0.00253498	0.948066752	0.002533272	0.946774404	0.002530414	0.944611763	0.002525689	0.941040648	0.002517733	0.935039548	0.002503627	0.924428098	0.0025374	0.957503722
0.002560695	0.947803505	0.002558962	0.946504874	0.002556059	0.944331293	0.002551261	0.940742463	0.002543183	0.934711272	0.002528859	0.924047032	0.002563164	0.957222551
0.002586804	0.947537576	0.002585044	0.94623226	0.002582096	0.944047749	0.002577223	0.940441093	0.00256902	0.934379689	0.002554474	0.923662113	0.00258931	0.957078222
0.002613314	0.947268741	0.002611526	0.945957211	0.002608532	0.943761704	0.002603584	0.940136647	0.002595253	0.934044694	0.002580481	0.923273303	0.002615856	0.956865973
0.002640232	0.946997542	0.002638418	0.945678979	0.002635377	0.9434727	0.002630351	0.939829083	0.00262189	0.933706424	0.002606886	0.922880507	0.00264281	0.956612071
0.002667571	0.946723575	0.002665727	0.945397884	0.002662638	0.943180339	0.002657533	0.939518309	0.002648939	0.933364383	0.002633699	0.922483738	0.002670186	0.956239265
0.002695335	0.94644633	0.002693462	0.945114225	0.002690325	0.942885367	0.002685138	0.939204397	0.002676408	0.933018813	0.002660928	0.922082746	0.002698004	0.956079142
0.002723535	0.946166179	0.002721632	0.944827429	0.002718446	0.942586863	0.002713176	0.938887209	0.002704307	0.932670023	0.00268858	0.921677598	0.002726232	0.955803576
0.002752179	0.945883473	0.002750246	0.944537624	0.002747008	0.942285247	0.002741655	0.938566726	0.002732645	0.932317255	0.002716666	0.921268374	0.002754935	0.955508241
0.002781278	0.945597762	0.002779314	0.944244759	0.002776024	0.941980794	0.002770586	0.938242701	0.00276143	0.931960796	0.002745194	0.920854783	0.002784069	0.955364565
0.002810841	0.945308629	0.002808845	0.943948797	0.002805502	0.941673087	0.002799975	0.937915268	0.002790672	0.931600753	0.002774174	0.920436825	0.002813674	0.955058666
0.002840877	0.945016761	0.002838849	0.943649691	0.002835452	0.941362095	0.002829836	0.937584524	0.002820381	0.931236785	0.002803615	0.920014447	0.002843753	0.954753381
0.002871398	0.944721733	0.002869337	0.943347366	0.002865884	0.941047608	0.002860176	0.93770906	0.002850567	0.930868937	0.002833527	0.919587619	0.002874324	0.954445032
0.002902413	0.944423372	0.002900318	0.943041791	0.002896808	0.940729826	0.002893255	0.936916221	0.00288124	0.930495295	0.002863921	0.919156146	0.002905389	0.954215664
0.002933933	0.944121866	0.002931803	0.942732915	0.002928236	0.940408589	0.002922339	0.936104281	0.002912401	0.930121421	0.002894805	0.918720046	0.002936955	0.953961563
0.002965969	0.943817074	0.002963804	0.942420678	0.002960178	0.940083862	0.002954183	0.936225302	0.002944089	0.929743249	0.002926192	0.918279271	0.00296904	0.953625479
0.002998533	0.943508951	0.002996332	0.942105016	0.002992645	0.939755596	0.00298655	0.935876212	0.002976288	0.92935744	0.002958092	0.917833659	0.00300166	0.953324991
0.003031636	0.943197454	0.003029398	0.941785879	0.003025649	0.939423721	0.003019452	0.935523258	0.003009018	0.9289692	0.002990516	0.917383265	0.003034817	0.953093656
0.003065291	0.942882452	0.003063015	0.941463214	0.003059203	0.939088163	0.0030529	0.935166487	0.00304229	0.928576693	0.003023477	0.916927657	0.003068521	0.952832662
0.003099508	0.942562662	0.003097194	0.941136972	0.003093317	0.938748902	0.003086908	0.934805746	0.003076118	0.928179838	0.003056983	0.91646732	0.00310279	0.952450828
0.003134295	0.942242707	0.003131948	0.94080708	0.003128005	0.938405842	0.003121486	0.934440885	0.003110512	0.92777854	0.003091052	0.916001939	0.003137651	0.952205479
0.003169689	0.941918558	0.00316729	0.940473471	0.00316328	0.938058907	0.003156649	0.934072025	0.003145486	0.927372758	0.003125692	0.915530981	0.003173078	0.951930668
0.003205676	0.941586794	0.003203234	0.94013602	0.003199155	0.937708058	0.00319241	0.933698921	0.003181054	0.926962406	0.003160918	0.915054984	0.003209128	0.951589081
0.003242275	0.941252589	0.003239793	0.939794862	0.003235643	0.937353226	0.003228781	0.93332158	0.003217228	0.9265474	0.003196742	0.914573593	0.003245783	0.951251675
0.003279501	0.940916131	0.003276982	0.939449801	0.003272759	0.936994346	0.003265777	0.932940005	0.003254023	0.92612767	0.003233179	0.914086973	0.003283088	0.950962306
0.003317378	0.940576887	0.003314815	0.939100643	0.003310517	0.936631327	0.003303413	0.932554008	0.003291452	0.92570313	0.003270244	0.913594142	0.003321016	0.950672724
0.003355918	0.940230528	0.003353306	0.938747519	0.003348933	0.936264114	0.003341703	0.932163572	0.00332953	0.925273685	0.003307945	0.913095715	0.003359624	0.950322608
0.003395122	0.939882022	0.003392472	0.938390288	0.003388021	0.935892641	0.003380662	0.931768587	0.003368273	0.924839258	0.003346304	0.912592124	0.003398896	0.949974193
0.003435031	0.939532396	0.003432327	0.938028841	0.003427797	0.935516814	0.003420307	0.931368988	0.003407696	0.924399779	0.003385334	0.912082415	0.003438877	0.949653346
0.00347565	0.939172355	0.003472889	0.937663166	0.003468278	0.935136565	0.003460653	0.930964695	0.003447815	0.923955119	0.003425051	0.911566729	0.003479549	0.949371315
0.003516972	0.938811183	0.003514175	0.937293174	0.003509479	0.934751828	0.003501716	0.930555623	0.003488647	0.923505263	0.003465471	0.911044944	0.003520956	0.949005879
0.003559058	0.938447587	0.0035562	0.936918746	0.00355142	0.934362494	0.003543515	0.930141688	0.003530208	0.923050057	0.00350661	0.910516989	0.003563102	0.94867351
0.003601894	0.938074228	0.003598984	0.936539835	0.003594116	0.933968511	0.003586067	0.929722802	0.003572516	0.922589373	0.003548485	0.90998275	0.003606011	0.94829679
0.003645496	0.937701178	0.003642545	0.936156378	0.003637587	0.933569794	0.00362939	0.929298551	0.003615589	0.922123207	0.003591115	0.90944215	0.003649705	0.947958345
0.003689914	0.937323886	0.003686901	0.935768269	0.003681852	0.933166228	0.0036735	0.928869776	0.003659445	0.92165139	0.003634518	0.908895021	0.00369419	0.947614263
0.00373514	0.936938507	0.003732072	0.935375398	0.003726929	0.932757748	0.003718423	0.928435825	0.003704104	0.921173832	0.003678712	0.908341235	0.003739498	0.947254296
0.003781198	0.936552656	0.003778079	0.934977712	0.003772838	0.932344249	0.003764173	0.927996044	0.003749586	0.92069042	0.003723716	0.907780768	0.003785639	0.946867163
0.003828134	0.936160106	0.003824941	0.934575131	0.003819602	0.931925652	0.003810773	0.927551029	0.003795909	0.920201116	0.003769551	0.907213418	0.003832649	0.946482193
0.003875932	0.935759246	0.00387268	0.934167555	0.00386724	0.931501889	0.003858244	0.927100462	0.003843097	0.919705761	0.003816238	0.906639012	0.003880533	0.94613084
0.003924627	0.935356245	0.003921319	0.933754871	0.003915774	0.931072802	0.003906606	0.926644259	0.00389117	0.919204182	0.003863797	0.906057449	0.003929321	0.945759528
0.003974249	0.934949985	0.003970879	0.933336962	0.003965228	0.930638289	0.003955883	0.926182362	0.00394015	0.918696334	0.003912249	0.905468752	0.003979032	0.945371628
0.004024826	0.934536704	0.004021385	0.932913782	0.004015624	0.930198311	0.004006099	0.925714671	0.00399006	0.918181949	0.003961619	0.904872638	0.004029695	0.944945255
0.004076366	0.934116938	0.00407286	0.93248524	0.004066987	0.929752733	0.004057276	0.925241228	0.004040924	0.917661332	0.004011929	0.904268862	0.004081336	0.944551468
0.004128899	0.933695205	0.00412533	0.932051326	0.004119342	0.929301466	0.004109442	0.924761296	0.004092768	0.917134043	0.004063203	0.903657508	0.004133971	0.944169612
0.004182474	0.933264149	0.004178822	0.931611509	0.004172714	0.928844387	0.004162617	0.924275206	0.004145615	0.916599429	0.004115466	0.903038317	0.004187631	0.943756167
0.004237064	0.932829488	0.004233358	0.931166014	0.00422713	0.928381312	0.004216832	0.92378317	0.00419949	0.916058651	0.004168743	0.902411174	0.004242343	0.943350315
0.004292764	0.932389837	0.00428897	0.930714897	0.004282617	0.927912266	0.004272112	0.92328462	0.004254426	0.915510832	0.004223061	0.901775808	0.00429813	0.942907913
0.004349544	0.931943815	0.004345683	0.930257834	0.004339204	0.927437054	0.004328488	0.922779492	0.004310445	0.914955172	0.004278447	0.901132143	0.004355034	0.942479017
0.004407485	0.931491915	0.004403531	0.929794708	0.004396919	0.926955607	0.004385986	0.922267645	0.004367576	0.914392482	0.00433493	0.90048013	0.004413067	0.942070891
0.004466568	0.931031294	0.00446254	0.929325316	0.004455795	0.926467546	0.004444637	0.921749034	0.004425851	0.913822435	0.004392538	0.89981946	0.004472269	0.941612902
0.004526848	0.930569159	0.004522743	0.928849673	0.004515858	0.925972967	0.004504472	0.921223444	0.0044853	0.91324473	0.004451301	0.899149976	0.004532673	0.941161129
0.004588376	0.930097897	0.004584173	0.928367581	0.004577145	0.925471917	0.004565523	0.920690792	0.004545954	0.912659259	0.004511251	0.898471531	0.004594307	0.940715345
